Round,Rank,Pos,Player,PosRank,Role,Score2022,Score2021,Score2020,Score2019,Score,ValueFactor,AdjValue
1,1,RB,Austin Ekeler (LAC),RB1,RB1,26.832,24.783,18.613,21.774,25.245,5,126.226
1,2,RB,Christian McCaffrey (SF),RB2,RB1,25.123,18.211,29.037,33.616,24.211,5,121.054
1,3,WR,Cooper Kupp (LAR),WR1,WR1,23.946,29.537,13.678,16.672,23.953,5,119.766
1,4,RB,Derrick Henry (TEN),RB3,RB1,22.074,24.323,22.428,21.197,22.628,5,113.139
1,5,WR,Davante Adams (LV),WR2,WR1,20.932,22.34,25.806,19.981,21.724,5,108.618
1,6,TE,Travis Kelce (KC),TE1,TE1,21.385,18.218,24.541,18.999,20.79,5,103.948
1,7,WR,Justin Jefferson (MIN),WR3,WR1,21.213,20.641,16.276,0,20.543,5,102.714
1,8,WR,Tyreek Hill (MIA),WR4,WR1,22.088,15.869,21.888,15.043,20.161,5,100.806
1,9,RB,Josh Jacobs (LV),RB4,RB1,21.325,18.505,16.881,15.986,19.909,5,99.543
1,10,RB,Breece Hall (NYJ),RB5,RB1,18.046,0,0,0,18.046,5,90.232
2,11,RB,Dalvin Cook (MIN),RB6,RB1,15.624,18.028,27.814,24.896,17.908,5,89.539
2,12,WR,Stefon Diggs (BUF),WR5,WR1,17.158,18.571,22.258,11.917,17.759,5,88.797
2,13,RB,Nick Chubb (CLE),RB7,RB1,18.004,16.578,19.473,16.986,17.743,5,88.717
2,14,RB,Alvin Kamara (NO),RB8,RB1,14.037,21.271,27.065,20.157,17.454,5,87.27
2,15,RB,Najee Harris (PIT),RB9,RB1,15.746,21.199,0,0,17.35,5,86.748
2,16,RB,Jonathan Taylor (IND),RB10,RB1,14.322,24.191,18.157,0,17.323,5,86.613
2,17,RB,Saquon Barkley (NYG),RB11,RB2,20.136,9.731,0,20.513,17.267,5,86.333
2,18,RB,James Conner (ARI),RB12,RB2,17.841,17.82,13.566,14.828,17.258,5,86.288
2,19,WR,Chris Godwin (TB),WR6,WR1,16.393,18.346,16.115,19.363,17.002,5,85.009
2,20,WR,DeAndre Hopkins (ARI),WR7,WR1,17.448,14.281,19.152,19.362,16.922,5,84.612
3,21,WR,CeeDee Lamb (DAL),WR8,WR1,18.721,13.182,13.185,0,16.681,5,83.403
3,22,RB,Aaron Jones (GB),RB13,RB2,15.913,15.933,20.287,19.741,16.546,5,82.732
3,23,RB,Leonard Fournette (TB),RB14,RB2,15.791,20.224,8.74,20.709,16.44,5,82.201
3,24,WR,Ja'Marr Chase (CIN),WR9,WR1,16.314,16.63,0,0,16.407,5,82.035
3,25,WR,A.J. Brown (PHI),WR10,WR1,18.05,11.842,18.149,11.406,16.176,5,80.879
3,26,QB,Patrick Mahomes II (KC),QB1,QB1,29.311,22.243,26.901,21.643,26.92,3,80.759
3,27,RB,Ezekiel Elliott (DAL),RB15,RB2,14.949,16.841,17.082,24.238,16.1,5,80.499
3,28,RB,Joe Mixon (CIN),RB16,RB2,14.763,19.872,14.687,15.265,16.058,5,80.289
3,29,QB,Jalen Hurts (PHI),QB2,QB1,29.715,22.762,16.708,0,26.516,3,79.549
3,30,RB,D'Andre Swift (DET),RB17,RB2,14.987,18.066,15.924,0,15.896,5,79.478
4,31,WR,Keenan Allen (LAC),WR11,WR2,14.274,18.074,18.196,15.704,15.688,5,78.439
4,32,WR,Deebo Samuel (SF),WR12,WR2,13.768,22.92,8.831,11.217,15.435,5,77.175
4,33,WR,Mike Evans (TB),WR13,WR2,14.957,16.005,14.393,15.685,15.199,5,75.996
4,34,WR,Amon-Ra St. Brown (DET),WR14,WR2,15.994,12.892,0,0,15.082,5,75.41
4,35,WR,Michael Thomas (NO),WR15,WR2,14.927,0,9.786,25.923,14.975,5,74.877
4,36,TE,Mark Andrews (BAL),TE2,TE1,13.337,19.012,13.292,14.472,14.808,5,74.041
4,37,QB,Josh Allen (BUF),QB3,QB1,22.984,25.397,26.343,18.635,23.706,3,71.117
4,38,WR,Jaylen Waddle (MIA),WR16,WR2,13.727,15.269,0,0,14.18,5,70.901
4,39,RB,Kenneth Walker III (SEA),RB18,RB2,14.129,0,0,0,14.129,5,70.646
4,40,WR,Amari Cooper (CLE),WR17,WR2,15.283,11.209,14.406,14.005,14.113,5,70.563
5,41,WR,Tee Higgins (CIN),WR18,WR2,14.621,14.168,10.862,0,14.106,5,70.531
5,42,QB,Joe Burrow (CIN),QB4,QB1,25.291,20.566,16.731,0,23.146,3,69.439
5,43,QB,Kyler Murray (ARI),QB5,QB1,23.007,23.099,24.39,18.906,22.963,3,68.89
5,44,RB,Dameon Pierce (HOU),RB19,RB2,13.709,0,0,0,13.709,5,68.544
5,45,RB,Cordarrelle Patterson (ATL),RB20,RB2,13.223,14.59,0,0,13.625,5,68.123
