Rank,Player,REC,TGT,RecYDS,Y/R,LG,20+,RecTD,ATT,RushYDS,RushTD,FL,G,FPTS,FPTS/G,ROST,Season
5,A.J. Brown (PHI),84,135,"1,401",16.7,78,41,11,0,0,0,2,16,244.1,15.3,99.9%,2022
11,A.J. Brown (PHI),70,106,"1,075",15.4,73,28,11,0,0,0,1,14,212.5,15.2,99.9%,2020
15,A.J. Brown (PHI),52,84,"1,051",20.2,91,40,8,3,60,1,0,16,191.1,11.9,99.9%,2019
32,A.J. Brown (PHI),63,105,869,13.8,57,17,5,2,10,0,0,13,149.4,11.5,99.9%,2021
41,A.J. Green (ARI),54,92,848,15.7,42,28,3,0,0,0,0,16,129.8,8.1,1.7%,2021
68,A.J. Green (ARI),47,104,523,11.1,33,5,2,0,0,0,0,16,87.8,5.5,1.7%,2020
121,A.J. Green (ARI),21,42,145,6.9,18,0,1,0,0,0,0,12,33,2.8,1.7%,2022
248,A.J. Green (ARI),0,0,0,0,0,0,0,0,0,0,0,1,0,0,1.7%,2019
82,Adam Humphries (FA),37,47,374,10.1,30,5,2,1,1,0,0,12,68,5.7,1.0%,2019
100,Adam Humphries (FA),41,62,383,9.3,27,4,0,0,0,0,0,17,58.8,3.5,1.0%,2021
109,Adam Humphries (FA),23,35,228,9.9,23,2,2,1,0,0,0,7,46.3,6.6,1.0%,2020
8,Adam Thielen (MIN),74,108,925,12.5,51,18,14,3,15,0,0,15,217,14.5,89.3%,2020
28,Adam Thielen (MIN),67,95,726,10.8,35,16,10,1,2,0,0,13,166.3,12.8,89.3%,2021
33,Adam Thielen (MIN),68,104,708,10.4,36,8,5,0,0,0,0,16,136.8,8.6,89.3%,2022
61,Adam Thielen (MIN),30,48,418,13.9,44,12,6,4,6,1,0,10,99.4,9.9,89.3%,2019
83,Albert Wilson (LV),43,62,351,8.2,35,5,1,5,45,0,0,13,67.9,5.2,0.0%,2019
128,Albert Wilson (LV),25,39,213,8.5,64,4,0,4,17,0,0,10,35.5,3.6,0.0%,2021
319,Albert Wilson (LV),0,0,0,0,0,0,0,0,0,0,0,3,0,0,0.0%,2022
60,Alec Pierce (IND),38,74,551,14.5,47,16,2,0,0,0,0,15,86.1,5.7,11.0%,2022
232,Alex Bachman (HOU),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0%,2020
255,Alex Bachman (HOU),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0%,2022
264,Alex Bachman (HOU),0,0,0,0,0,0,0,1,-3,0,0,2,-0.3,-0.2,0.0%,2021
76,Alex Erickson (WAS),43,78,529,12.3,52,11,0,5,33,0,2,16,74.7,4.7,0.0%,2019
158,Alex Erickson (WAS),12,17,139,11.6,42,4,0,5,7,0,2,16,16.6,1,0.0%,2020
182,Alex Erickson (WAS),3,4,55,18.3,25,1,0,0,0,0,0,17,7,0.4,0.0%,2021
336,Alex Erickson (WAS),0,0,0,0,0,0,0,0,0,0,0,2,0,0,0.0%,2022
173,Alexander Hollins (FA),2,4,46,23,35,2,0,0,0,0,0,5,5.6,1.1,0.0%,2019
84,Allen Hurns (FA),32,47,416,13,27,4,2,0,0,0,1,14,67.6,4.8,0.0%,2019
260,Allen Hurns (FA),0,0,0,0,0,0,0,0,0,0,0,4,0,0,0.0%,2021
35,Allen Lazard (GB),56,94,747,13.3,47,20,5,0,0,0,0,14,132.7,9.5,85.5%,2022
45,Allen Lazard (GB),40,60,513,12.8,42,12,8,3,32,0,0,14,122.5,8.8,85.5%,2021
68,Allen Lazard (GB),35,52,477,13.6,43,10,3,1,21,0,0,16,85.3,5.3,85.5%,2019
78,Allen Lazard (GB),33,46,451,13.7,72,13,3,2,17,0,0,10,81.3,8.1,85.5%,2020
12,Allen Robinson II (LAR),102,151,"1,250",12.3,42,27,6,1,-1,0,0,16,211.9,13.2,33.8%,2020
11,Allen Robinson II (LAR),98,154,"1,147",11.7,49,22,7,1,2,0,0,16,205.9,12.9,33.8%,2019
81,Allen Robinson II (LAR),33,52,339,10.3,29,3,3,0,0,0,0,10,68.4,6.8,33.8%,2022
86,Allen Robinson II (LAR),38,66,410,10.8,39,6,1,0,0,0,0,12,68,5.7,33.8%,2021
279,Alonzo Russell (FA),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0%,2019
59,Alshon Jeffery (FA),43,73,490,11.4,38,8,4,1,2,1,0,10,100.7,10.1,0.0%,2019
151,Alshon Jeffery (FA),6,13,115,19.2,39,4,1,0,0,0,0,7,20.5,2.9,0.0%,2020
9,Amari Cooper (CLE),79,119,"1,189",15.1,53,31,8,1,6,0,0,16,207,12.9,96.3%,2019
9,Amari Cooper (CLE),76,129,"1,109",14.6,55,29,9,0,0,0,0,16,201.9,12.6,96.3%,2022
16,Amari Cooper (CLE),92,130,"1,114",12.1,69,26,5,6,14,0,0,16,190.8,11.9,96.3%,2020
27,Amari Cooper (CLE),68,104,865,12.7,41,20,8,0,0,0,0,15,168.5,11.2,96.3%,2021
130,Amari Rodgers (HOU),13,21,182,14,37,4,1,2,7,0,2,14,27.4,2,0.4%,2022
180,Amari Rodgers (HOU),4,8,45,11.3,19,0,0,1,11,0,0,16,7.6,0.5,0.4%,2021
8,Amon-Ra St. Brown (DET),100,137,"1,112",11.1,49,15,6,9,95,0,0,15,206.7,13.8,99.3%,2022
21,Amon-Ra St. Brown (DET),90,119,912,10.1,37,15,5,7,61,1,0,16,182.3,11.4,99.3%,2021
170,Andre Baccellia (ARI),6,9,39,6.5,11,0,0,0,0,0,0,4,6.9,1.7,0.0%,2022
228,Andre Holmes (FA),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0%,2019
163,Andre Patton (FA),6,17,56,9.3,15,0,0,0,0,0,0,13,8.6,0.7,0.0%,2019
176,Andre Roberts (CAR),1,2,35,35,35,2,0,3,19,0,2,16,7.9,0.5,0.0%,2021
184,Andre Roberts (CAR),3,7,20,6.7,7,0,0,1,7,0,0,13,4.2,0.3,0.0%,2019
212,Andre Roberts (CAR),4,5,34,8.5,16,0,0,1,-3,0,2,15,1.1,0.1,0.0%,2020
329,Andre Roberts (CAR),0,0,0,0,0,0,0,0,0,0,0,2,0,0,0.0%,2022
111,Andy Isabella (BAL),21,35,224,10.7,54,6,2,1,-6,0,0,13,44.3,3.4,0.0%,2020
127,Andy Isabella (BAL),9,13,189,21,88,8,1,4,15,0,0,15,30.9,2.1,0.0%,2019
185,Andy Isabella (BAL),2,5,21,10.5,11,0,0,1,1,0,0,4,3.2,0.8,0.0%,2022
215,Andy Isabella (BAL),1,1,13,13,13,0,0,0,0,0,0,3,1.8,0.6,0.0%,2021
257,Andy Jones (FA),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0%,2019
58,Anthony Miller (PIT),52,85,656,12.6,35,16,2,1,-1,0,1,16,101.5,6.3,0.0%,2019
74,Anthony Miller (PIT),49,76,485,9.9,34,5,2,2,12,0,1,16,84.2,5.3,0.0%,2020
166,Anthony Miller (PIT),6,12,25,4.2,10,0,1,0,0,0,0,3,11.5,3.8,0.0%,2021
134,Anthony Schwartz (CLE),10,23,135,13.5,44,3,1,6,39,0,0,13,28.4,2.2,0.1%,2021
146,Anthony Schwartz (CLE),4,10,51,12.8,19,0,0,4,57,1,1,7,16.8,2.4,0.1%,2022
112,Antoine Wesley (ARI),19,32,208,10.9,33,5,3,0,0,0,0,8,48.3,6,0.0%,2021
58,Antonio Brown (FA),42,62,545,13,62,15,4,1,6,0,0,7,100.1,14.3,0.4%,2021
66,Antonio Brown (FA),45,62,483,10.7,46,9,4,2,-2,0,0,8,94.6,11.8,0.4%,2020
148,Antonio Brown (FA),4,8,56,14,20,1,1,1,5,0,0,1,14.1,14.1,0.4%,2019
150,Antonio Callaway (DAL),8,15,89,11.1,41,3,0,0,0,0,0,5,12.9,2.6,0.0%,2019
197,Antonio Callaway (DAL),2,4,20,10,13,0,0,0,0,0,0,5,3,0.6,0.0%,2020
198,Antonio Gandy-Golden (FA),1,7,3,3,3,0,0,1,22,0,0,6,3,0.5,0.0%,2020
235,Antonio Gandy-Golden (FA),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0%,2021
124,Ashton Dulin (IND),13,22,173,13.3,62,5,2,3,32,0,0,16,39,2.4,0.1%,2021
117,Ashton Dulin (IND),15,22,207,13.8,39,3,1,2,8,0,0,10,35,3.5,0.1%,2022
